
🕒 2025-01-07 00:54:51+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
🕒 2025-01-07 04:48:25+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-07 04:48:26+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-07 04:48:27+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-07 04:50:16+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
🕒 2025-01-07 04:50:55+00:00: Anomalías en energyPerPreform_CurrentPreformTemperatureOvenInfeed.0, numberOfActivatedRadiators_CurrentPreformTemperatureOvenInfeed.0, powerPerPreform_CurrentPreformTemperatureOvenInfeed.0
🕒 2025-01-07 06:39:20+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-07 06:39:24+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
🕒 2025-01-07 06:39:25+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0
2025-01-07 06:39:27+00:00: Anomalías en energyPerPreform_CurrentPreformNeckFinishTemperature.0, numberOfActivatedRadiators_CurrentPreformNeckFinishTemperature.0, powerPerPreform_CurrentPreformNeckFinishTemperature.0



